date,maximum_temp,minimum_temp
600,12.3,6.1
601,13.7,5.2
602,14.4,7.5
603,15.0,11.8
604,14.9,4.7
605,18.4,14.4
606,16.2,13.6
607,16.2,13.6
608,16.5,11.7
609,15.2,13.5
610,16.5,11.4
611,16.9,8.7
612,18.2,15.3
613,17.5,8.2
614,16.2,12.3
615,12.6,5.1
616,11.7,4.5
617,13.4,6.2
618,17.0,7.1
619,16.1,8.0
620,14.7,9.1
621,13.3,7.1
622,14.4,7.4
623,14.9,9.4
624,17.1,9.7
625,16.2,7.8
626,17.2,12.6
627,17.2,10.7
628,15.3,13.5
629,12.7,4.0
630,13.7,5.2
631,14.9,6.6
632,13.3,10.1
633,15.5,7.2
634,17.4,12.4
635,15.2,6.2
636,16.3,12.9
637,12.9,8.5
638,15.8,8.6
639,16.2,13.3
640,11.5,2.1
641,16.8,14.3
642,15.4,8.1
643,9.9,3.2
644,11.8,9.0
645,6.8,0.0
646,10.4,5.9
647,11.0,9.1
648,11.5,7.1
649,10.3,3.7
650,10.1,3.6
651,9.5,1.3
652,10.0,8.2
653,11.7,10.2
654,14.0,10.3
655,15.4,11.9
656,16.6,14.2
657,16.3,14.1
658,12.4,10.8
659,14.0,8.8
660,11.2,7.5
661,13.8,12.2
662,15.2,9.7
663,12.2,10.6
664,13.4,12.2
665,15.9,14.7
666,16.2,14.6
667,5.5,0.7
668,12.0,8.7
669,16.8,15.0
670,18.6,10.8
671,13.9,10.1
672,8.6,5.1
673,4.9,0.0
674,8.1,5.0
675,7.2,-1.2
676,12.2,9.4
677,10.4,6.1
678,9.9,6.4
679,8.0,3.8
680,11.1,8.7
681,12.1,10.0
682,10.8,9.2
683,14.3,10.1
684,8.8,4.6
685,6.9,4.1
686,10.4,3.7
687,9.9,6.3
688,10.2,8.9
689,10.3,6.7
690,8.2,2.3
691,10.8,8.0
692,9.1,5.9
693,7.9,5.1
694,7.0,2.9
695,6.5,2.8
696,6.6,3.6
697,9.4,2.0
698,10.9,8.6
699,11.0,7.5
700,5.8,2.8
701,7.8,0.3
702,0.6,-3.7
703,1.9,0.0
704,5.2,1.1
705,0.8,-4.1
706,11.1,4.8
707,5.2,2.1
708,7.8,-1.9
709,8.2,4.4
710,5.4,2.2
711,5.6,0.6
712,1.3,-4.3
713,8.5,5.9
714,6.1,3.9
715,6.3,4.0
716,11.0,5.9
717,12.2,10.9
718,9.0,5.5
719,7.6,5.8
720,9.0,6.9
721,13.0,11.3
722,11.9,9.4
723,7.4,5.0
